,year,category,total_hiv_diag_N,total_hiv_diag_per,without_aids_N,without_aids_per,concurrent_aids_N,concurrent_aids_per,aids_N,plwha_N,death_N,borough,sex,sex_cat,race_cat,borough_cat,age_cat,risk_cat
61,2011,Asian/Pacific Islander,0,0,0,0,0,0,0,40,3,Bronx,Female,All,Asian/Pacific Islander,All,All,All
62,2011,Native American,0,0,0,0,0,0,0,20,1,Bronx,Female,All,Native American,All,All,All
63,2011,Multiracial,0,0,0,0,0,0,1,1,0,Bronx,Female,All,Multiracial,All,All,All
64,2011,Unknown race,0,0,0,0,0,0,0,16,0,Bronx,Female,All,Unknown race,All,All,All
65,2011,0-12,0,0,0,0,0,0,0,45,0,Bronx,Female,All,All,All,0-12,All
66,2011,13-19,18,8.5,16,9.6,2,4.3,10,200,0,Bronx,Female,All,All,All,13-19,All
67,2011,20-29,46,21.6,40,24,6,13,23,739,8,Bronx,Female,All,All,All,20-29,All
68,2011,30-39,53,24.9,50,29.9,3,6.5,39,1728,20,Bronx,Female,All,All,All,30-39,All
69,2011,40-49,52,24.4,32,19.2,20,43.5,73,3445,62,Bronx,Female,All,All,All,40-49,All
70,2011,50-59,30,14.1,20,12,10,21.7,42,2928,56,Bronx,Female,All,All,All,50-59,All
71,2011,60+,14,6.6,9,5.4,5,10.9,16,1181,32,Bronx,Female,All,All,All,60+,All
72,2011,Injection drug use history (IDU),12,5.6,10,6,2,4.3,33,1990,63,Bronx,Female,All,All,All,All,Injection drug use history (IDU)
73,2011,Heterosexual contact,179,84,138,82.6,41,89.1,126,5112,79,Bronx,Female,All,All,All,All,Heterosexual contact
74,2011,Transgender people with sexual contact,6,2.8,6,3.6,0,0,5,159,3,Bronx,Female,All,All,All,All,Transgender people with sexual contact
75,2011,Perinatal,0,0,0,0,0,0,10,427,4,Bronx,Female,All,All,All,All,Perinatal
76,2011,Other risk,0,0,0,0,0,0,0,24,1,Bronx,Female,All,All,All,All,Other risk
77,2011,Unknown risk,16,7.5,13,7.8,3,6.5,29,2554,28,Bronx,Female,All,All,All,All,Unknown risk
78,2011,TOTAL,679,100,529,77.9,150,22.1,449,18072,343,Brooklyn,Male,All,All,All,All,All
79,2011,Black,404,59.5,309,58.4,95,63.3,302,10425,211,Brooklyn,Male,All,Black,All,All,All
80,2011,Latino/Hispanic,142,20.9,111,21,31,20.7,94,4480,95,Brooklyn,Male,All,Latino/Hispanic,All,All,All
81,2011,White,112,16.5,94,17.8,18,12,41,2790,34,Brooklyn,Male,All,White,All,All,All
82,2011,Asian/Pacific Islander,20,2.9,14,2.6,6,4,12,285,2,Brooklyn,Male,All,Asian/Pacific Islander,All,All,All
83,2011,Native American,1,0.1,1,0.2,0,0,0,46,1,Brooklyn,Male,All,Native American,All,All,All
84,2011,Multiracial,0,0,0,0,0,0,0,14,0,Brooklyn,Male,All,Multiracial,All,All,All
85,2011,Unknown race,0,0,0,0,0,0,0,32,0,Brooklyn,Male,All,Unknown race,All,All,All
86,2011,0-12,1,0.1,1,0.2,0,0,0,33,0,Brooklyn,Male,All,All,All,0-12,All
87,2011,13-19,46,6.8,41,7.8,5,3.3,11,193,0,Brooklyn,Male,All,All,All,13-19,All
88,2011,20-29,262,38.6,225,42.5,37,24.7,103,1857,12,Brooklyn,Male,All,All,All,20-29,All
89,2011,30-39,149,21.9,125,23.6,24,16,90,2845,19,Brooklyn,Male,All,All,All,30-39,All
90,2011,40-49,128,18.9,82,15.5,46,30.7,133,5514,81,Brooklyn,Male,All,All,All,40-49,All
91,2011,50-59,72,10.6,43,8.1,29,19.3,87,5083,116,Brooklyn,Male,All,All,All,50-59,All
92,2011,60+,21,3.1,12,2.3,9,6,25,2547,115,Brooklyn,Male,All,All,All,60+,All
93,2011,Male who have sex with men (MSM),416,61.3,354,66.9,62,41.3,211,7848,77,Brooklyn,Male,All,All,All,All,Male who have sex with men (MSM)
94,2011,Injection drug use history (IDU),22,3.2,14,2.6,8,5.3,34,2787,107,Brooklyn,Male,All,All,All,All,Injection drug use history (IDU)
95,2011,MSM-IDU,10,1.5,9,1.7,1,0.7,17,576,19,Brooklyn,Male,All,All,All,All,MSM-IDU
96,2011,Heterosexual contact,46,6.8,27,5.1,19,12.7,45,1624,34,Brooklyn,Male,All,All,All,All,Heterosexual contact
97,2011,Transgender people with sexual contact,0,0,0,0,0,0,0,1,0,Brooklyn,Male,All,All,All,All,Transgender people with sexual contact
98,2011,Perinatal,1,0.1,1,0.2,0,0,8,344,1,Brooklyn,Male,All,All,All,All,Perinatal
99,2011,Other risk,0,0,0,0,0,0,0,23,1,Brooklyn,Male,All,All,All,All,Other risk
100,2011,Unknown risk,184,27.1,124,23.4,60,40,134,4869,104,Brooklyn,Male,All,All,All,All,Unknown risk
101,2011,TOTAL,253,100,197,77.9,56,22.1,201,9957,166,Brooklyn,Female,All,All,All,All,All
102,2011,Black,200,79.1,152,77.2,48,85.7,155,6919,107,Brooklyn,Female,All,Black,All,All,All
103,2011,Latino/Hispanic,36,14.2,29,14.7,7,12.5,36,2358,46,Brooklyn,Female,All,Latino/Hispanic,All,All,All
104,2011,White,14,5.5,13,6.6,1,1.8,7,528,11,Brooklyn,Female,All,White,All,All,All
105,2011,Asian/Pacific Islander,2,0.8,2,1,0,0,3,90,1,Brooklyn,Female,All,Asian/Pacific Islander,All,All,All
106,2011,Native American,0,0,0,0,0,0,0,30,1,Brooklyn,Female,All,Native American,All,All,All
107,2011,Multiracial,1,0.4,1,0.5,0,0,0,7,0,Brooklyn,Female,All,Multiracial,All,All,All
108,2011,Unknown race,0,0,0,0,0,0,0,25,0,Brooklyn,Female,All,Unknown race,All,All,All
109,2011,0-12,0,0,0,0,0,0,0,36,0,Brooklyn,Female,All,All,All,0-12,All
110,2011,13-19,11,4.3,10,5.1,1,1.8,6,184,0,Brooklyn,Female,All,All,All,13-19,All
111,2011,20-29,56,22.1,51,25.9,5,8.9,26,768,8,Brooklyn,Female,All,All,All,20-29,All
112,2011,30-39,50,19.8,39,19.8,11,19.6,42,1525,19,Brooklyn,Female,All,All,All,30-39,All
113,2011,40-49,73,28.9,57,28.9,16,28.6,64,3234,43,Brooklyn,Female,All,All,All,40-49,All
114,2011,50-59,43,17,31,15.7,12,21.4,42,3001,58,Brooklyn,Female,All,All,All,50-59,All
115,2011,60+,20,7.9,9,4.6,11,19.6,21,1209,38,Brooklyn,Female,All,All,All,60+,All
116,2011,Injection drug use history (IDU),10,4,7,3.6,3,5.4,23,1616,56,Brooklyn,Female,All,All,All,All,Injection drug use history (IDU)
117,2011,Heterosexual contact,184,72.7,142,72.1,42,75,121,5213,72,Brooklyn,Female,All,All,All,All,Heterosexual contact
118,2011,Transgender people with sexual contact,9,3.6,8,4.1,1,1.8,8,192,1,Brooklyn,Female,All,All,All,All,Transgender people with sexual contact
119,2011,Perinatal,1,0.4,0,0,1,1.8,7,377,4,Brooklyn,Female,All,All,All,All,Perinatal
120,2011,Other risk,0,0,0,0,0,0,0,29,0,Brooklyn,Female,All,All,All,All,Other risk
121,2011,Unknown risk,49,19.4,40,20.3,9,16.1,42,2530,33,Brooklyn,Female,All,All,All,All,Unknown risk
122,2011,TOTAL,704,100,602,85.5,102,14.5,408,25325,305,Manhattan,Male,All,All,All,All,All
123,2011,Black,172,24.4,136,22.6,36,35.3,167,6991,113,Manhattan,Male,All,Black,All,All,All
124,2011,Latino/Hispanic,222,31.5,191,31.7,31,30.4,127,6764,93,Manhattan,Male,All,Latino/Hispanic,All,All,All
125,2011,White,279,39.6,250,41.5,29,28.4,103,10794,95,Manhattan,Male,All,White,All,All,All
126,2011,Asian/Pacific Islander,29,4.1,24,4,5,4.9,10,554,3,Manhattan,Male,All,Asian/Pacific Islander,All,All,All
127,2011,Native American,1,0.1,1,0.2,0,0,1,44,1,Manhattan,Male,All,Native American,All,All,All
128,2011,Multiracial,1,0.1,0,0,1,1,0,13,0,Manhattan,Male,All,Multiracial,All,All,All
129,2011,Unknown race,0,0,0,0,0,0,0,165,0,Manhattan,Male,All,Unknown race,All,All,All
130,2011,0-12,0,0,0,0,0,0,0,23,0,Manhattan,Male,All,All,All,0-12,All
131,2011,13-19,24,3.4,24,4,0,0,2,77,1,Manhattan,Male,All,All,All,13-19,All
132,2011,20-29,236,33.5,218,36.2,18,17.6,70,1587,6,Manhattan,Male,All,All,All,20-29,All
133,2011,30-39,198,28.1,168,27.9,30,29.4,112,3603,16,Manhattan,Male,All,All,All,30-39,All
134,2011,40-49,164,23.3,130,21.6,34,33.3,132,8369,63,Manhattan,Male,All,All,All,40-49,All
135,2011,50-59,60,8.5,45,7.5,15,14.7,66,7562,102,Manhattan,Male,All,All,All,50-59,All
136,2011,60+,22,3.1,17,2.8,5,4.9,26,4104,117,Manhattan,Male,All,All,All,60+,All
137,2011,Male who have sex with men (MSM),552,78.4,488,81.1,64,62.7,243,16163,107,Manhattan,Male,All,All,All,All,Male who have sex with men (MSM)
138,2011,Injection drug use history (IDU),12,1.7,9,1.5,3,2.9,26,2554,76,Manhattan,Male,All,All,All,All,Injection drug use history (IDU)
139,2011,MSM-IDU,21,3,18,3,3,2.9,13,783,24,Manhattan,Male,All,All,All,All,MSM-IDU
140,2011,Heterosexual contact,27,3.8,22,3.7,5,4.9,21,1039,20,Manhattan,Male,All,All,All,All,Heterosexual contact
141,2011,Transgender people with sexual contact,0,0,0,0,0,0,0,0,0,Manhattan,Male,All,All,All,All,Transgender people with sexual contact
142,2011,Perinatal,0,0,0,0,0,0,5,179,3,Manhattan,Male,All,All,All,All,Perinatal
143,2011,Other risk,0,0,0,0,0,0,0,18,0,Manhattan,Male,All,All,All,All,Other risk
144,2011,Unknown risk,92,13.1,65,10.8,27,26.5,100,4589,75,Manhattan,Male,All,All,All,All,Unknown risk
145,2011,TOTAL,122,100,107,87.7,15,12.3,92,5350,99,Manhattan,Female,All,All,All,All,All
146,2011,Black,69,56.6,61,57,8,53.3,57,2957,54,Manhattan,Female,All,Black,All,All,All
147,2011,Latino/Hispanic,46,37.7,40,37.4,6,40,30,1737,34,Manhattan,Female,All,Latino/Hispanic,All,All,All
148,2011,White,7,5.7,6,5.6,1,6.7,4,556,11,Manhattan,Female,All,White,All,All,All
149,2011,Asian/Pacific Islander,0,0,0,0,0,0,1,66,0,Manhattan,Female,All,Asian/Pacific Islander,All,All,All
150,2011,Native American,0,0,0,0,0,0,0,11,0,Manhattan,Female,All,Native American,All,All,All
151,2011,Multiracial,0,0,0,0,0,0,0,4,0,Manhattan,Female,All,Multiracial,All,All,All
152,2011,Unknown race,0,0,0,0,0,0,0,19,0,Manhattan,Female,All,Unknown race,All,All,All
153,2011,0-12,2,1.6,2,1.9,0,0,0,21,0,Manhattan,Female,All,All,All,0-12,All
154,2011,13-19,7,5.7,7,6.5,0,0,3,95,1,Manhattan,Female,All,All,All,13-19,All
155,2011,20-29,21,17.2,20,18.7,1,6.7,17,339,0,Manhattan,Female,All,All,All,20-29,All
156,2011,30-39,32,26.2,25,23.4,7,46.7,20,715,4,Manhattan,Female,All,All,All,30-39,All
157,2011,40-49,28,23,26,24.3,2,13.3,24,1744,29,Manhattan,Female,All,All,All,40-49,All
158,2011,50-59,21,17.2,19,17.8,2,13.3,19,1652,39,Manhattan,Female,All,All,All,50-59,All
159,2011,60+,11,9,8,7.5,3,20,9,784,26,Manhattan,Female,All,All,All,60+,All
160,2011,Injection drug use history (IDU),9,7.4,7,6.5,2,13.3,14,1176,41,Manhattan,Female,All,All,All,All,Injection drug use history (IDU)
161,2011,Heterosexual contact,77,63.1,68,63.6,9,60,57,2410,43,Manhattan,Female,All,All,All,All,Heterosexual contact
162,2011,Transgender people with sexual contact,10,8.2,8,7.5,2,13.3,6,159,3,Manhattan,Female,All,All,All,All,Transgender people with sexual contact
163,2011,Perinatal,2,1.6,2,1.9,0,0,3,192,1,Manhattan,Female,All,All,All,All,Perinatal
164,2011,Other risk,0,0,0,0,0,0,0,17,0,Manhattan,Female,All,All,All,All,Other risk
165,2011,Unknown risk,24,19.7,22,20.6,2,13.3,12,1396,11,Manhattan,Female,All,All,All,All,Unknown risk
166,2011,TOTAL,386,100,311,80.6,75,19.4,218,11800,126,Queens,Male,All,All,All,All,All
167,2011,Black,130,33.7,103,33.1,27,36,92,4165,56,Queens,Male,All,Black,All,All,All
168,2011,Latino/Hispanic,171,44.3,138,44.4,33,44,86,4832,45,Queens,Male,All,Latino/Hispanic,All,All,All
169,2011,White,56,14.5,47,15.1,9,12,30,2204,23,Queens,Male,All,White,All,All,All
170,2011,Asian/Pacific Islander,29,7.5,23,7.4,6,8,10,519,2,Queens,Male,All,Asian/Pacific Islander,All,All,All
171,2011,Native American,0,0,0,0,0,0,0,41,0,Queens,Male,All,Native American,All,All,All
172,2011,Multiracial,0,0,0,0,0,0,0,10,0,Queens,Male,All,Multiracial,All,All,All
173,2011,Unknown race,0,0,0,0,0,0,0,29,0,Queens,Male,All,Unknown race,All,All,All
174,2011,0-12,0,0,0,0,0,0,0,19,0,Queens,Male,All,All,All,0-12,All
175,2011,13-19,15,3.9,15,4.8,0,0,5,92,0,Queens,Male,All,All,All,13-19,All
176,2011,20-29,138,35.8,129,41.5,9,12,44,959,5,Queens,Male,All,All,All,20-29,All
177,2011,30-39,100,25.9,78,25.1,22,29.3,60,1896,12,Queens,Male,All,All,All,30-39,All
178,2011,40-49,82,21.2,57,18.3,25,33.3,67,4054,34,Queens,Male,All,All,All,40-49,All
179,2011,50-59,44,11.4,28,9,16,21.3,36,3424,47,Queens,Male,All,All,All,50-59,All
180,2011,60+,7,1.8,4,1.3,3,4,6,1356,28,Queens,Male,All,All,All,60+,All
181,2011,Male who have sex with men (MSM),269,69.7,222,71.4,47,62.7,118,5627,40,Queens,Male,All,All,All,All,Male who have sex with men (MSM)
182,2011,Injection drug use history (IDU),9,2.3,4,1.3,5,6.7,17,1667,37,Queens,Male,All,All,All,All,Injection drug use history (IDU)
183,2011,MSM-IDU,5,1.3,3,1,2,2.7,6,344,3,Queens,Male,All,All,All,All,MSM-IDU
184,2011,Heterosexual contact,34,8.8,24,7.7,10,13.3,23,1134,14,Queens,Male,All,All,All,All,Heterosexual contact
185,2011,Transgender people with sexual contact,0,0,0,0,0,0,0,0,0,Queens,Male,All,All,All,All,Transgender people with sexual contact
186,2011,Perinatal,0,0,0,0,0,0,2,183,0,Queens,Male,All,All,All,All,Perinatal
187,2011,Other risk,0,0,0,0,0,0,0,21,0,Queens,Male,All,All,All,All,Other risk
188,2011,Unknown risk,69,17.9,58,18.6,11,14.7,52,2824,32,Queens,Male,All,All,All,All,Unknown risk
189,2011,TOTAL,103,100,75,72.8,28,27.2,87,4752,65,Queens,Female,All,All,All,All,All
190,2011,Black,45,43.7,31,41.3,14,50,51,2737,41,Queens,Female,All,Black,All,All,All
191,2011,Latino/Hispanic,43,41.7,34,45.3,9,32.1,25,1392,11,Queens,Female,All,Latino/Hispanic,All,All,All
192,2011,White,6,5.8,3,4,3,10.7,7,440,11,Queens,Female,All,White,All,All,All
193,2011,Asian/Pacific Islander,9,8.7,7,9.3,2,7.1,4,145,2,Queens,Female,All,Asian/Pacific Islander,All,All,All
194,2011,Native American,0,0,0,0,0,0,0,12,0,Queens,Female,All,Native American,All,All,All
195,2011,Multiracial,0,0,0,0,0,0,0,10,0,Queens,Female,All,Multiracial,All,All,All
196,2011,Unknown race,0,0,0,0,0,0,0,16,0,Queens,Female,All,Unknown race,All,All,All
197,2011,0-12,3,2.9,3,4,0,0,0,14,0,Queens,Female,All,All,All,0-12,All
198,2011,13-19,4,3.9,3,4,1,3.6,1,74,0,Queens,Female,All,All,All,13-19,All
199,2011,20-29,25,24.3,20,26.7,5,17.9,13,341,1,Queens,Female,All,All,All,20-29,All
200,2011,30-39,21,20.4,13,17.3,8,28.6,22,779,5,Queens,Female,All,All,All,30-39,All
201,2011,40-49,24,23.3,17,22.7,7,25,25,1626,19,Queens,Female,All,All,All,40-49,All
202,2011,50-59,19,18.4,15,20,4,14.3,17,1393,29,Queens,Female,All,All,All,50-59,All
203,2011,60+,7,6.8,4,5.3,3,10.7,9,525,11,Queens,Female,All,All,All,60+,All
204,2011,Injection drug use history (IDU),0,0,0,0,0,0,7,772,19,Queens,Female,All,All,All,All,Injection drug use history (IDU)
205,2011,Heterosexual contact,80,77.7,57,76,23,82.1,65,2614,24,Queens,Female,All,All,All,All,Heterosexual contact
206,2011,Transgender people with sexual contact,9,8.7,6,8,3,10.7,5,130,0,Queens,Female,All,All,All,All,Transgender people with sexual contact
207,2011,Perinatal,3,2.9,3,4,0,0,0,163,1,Queens,Female,All,All,All,All,Perinatal
208,2011,Other risk,0,0,0,0,0,0,0,21,0,Queens,Female,All,All,All,All,Other risk
209,2011,Unknown risk,11,10.7,9,12,2,7.1,10,1052,21,Queens,Female,All,All,All,All,Unknown risk
210,2011,TOTAL,27,100,15,55.6,12,44.4,25,1413,41,Staten Island,Male,All,All,All,All,All
211,2011,Black,7,25.9,5,33.3,2,16.7,5,486,20,Staten Island,Male,All,Black,All,All,All
212,2011,Latino/Hispanic,8,29.6,5,33.3,3,25,8,408,12,Staten Island,Male,All,Latino/Hispanic,All,All,All
213,2011,White,10,37,4,26.7,6,50,10,490,9,Staten Island,Male,All,White,All,All,All
214,2011,Asian/Pacific Islander,2,7.4,1,6.7,1,8.3,1,18,0,Staten Island,Male,All,Asian/Pacific Islander,All,All,All
215,2011,Unknown race,0,0,0,0,0,0,1,11,0,Staten Island,Male,All,Unknown race,All,All,All
216,2011,0-12,0,0,0,0,0,0,0,1,0,Staten Island,Male,All,All,All,0-12,All
217,2011,13-19,1,3.7,1,6.7,0,0,1,13,0,Staten Island,Male,All,All,All,13-19,All
218,2011,20-29,7,25.9,5,33.3,2,16.7,4,98,1,Staten Island,Male,All,All,All,20-29,All
219,2011,30-39,6,22.2,4,26.7,2,16.7,6,178,1,Staten Island,Male,All,All,All,30-39,All
220,2011,40-49,9,33.3,4,26.7,5,41.7,10,441,15,Staten Island,Male,All,All,All,40-49,All
221,2011,50-59,1,3.7,1,6.7,0,0,1,494,13,Staten Island,Male,All,All,All,50-59,All
222,2011,60+,3,11.1,0,0,3,25,3,188,11,Staten Island,Male,All,All,All,60+,All
223,2011,Male who have sex with men (MSM),12,44.4,8,53.3,4,33.3,9,509,6,Staten Island,Male,All,All,All,All,Male who have sex with men (MSM)
224,2011,Injection drug use history (IDU),2,7.4,0,0,2,16.7,4,305,14,Staten Island,Male,All,All,All,All,Injection drug use history (IDU)
225,2011,MSM-IDU,2,7.4,1,6.7,1,8.3,2,69,2,Staten Island,Male,All,All,All,All,MSM-IDU
226,2011,Heterosexual contact,1,3.7,0,0,1,8.3,4,134,7,Staten Island,Male,All,All,All,All,Heterosexual contact
227,2011,Transgender people with sexual contact,0,0,0,0,0,0,0,0,0,Staten Island,Male,All,All,All,All,Transgender people with sexual contact
228,2011,Perinatal,0,0,0,0,0,0,1,37,1,Staten Island,Male,All,All,All,All,Perinatal
229,2011,Other risk,0,0,0,0,0,0,0,1,0,Staten Island,Male,All,All,All,All,Other risk
230,2011,Unknown risk,10,37,6,40,4,33.3,5,358,11,Staten Island,Male,All,All,All,All,Unknown risk
231,2011,TOTAL,12,100,9,75,3,25,8,780,19,Staten Island,Female,All,All,All,All,All
232,2011,Black,8,66.7,5,55.6,3,100,7,363,10,Staten Island,Female,All,Black,All,All,All
233,2011,Latino/Hispanic,2,16.7,2,22.2,0,0,0,223,6,Staten Island,Female,All,Latino/Hispanic,All,All,All
234,2011,White,2,16.7,2,22.2,0,0,1,186,3,Staten Island,Female,All,White,All,All,All
235,2011,Asian/Pacific Islander,0,0,0,0,0,0,0,3,0,Staten Island,Female,All,Asian/Pacific Islander,All,All,All
236,2011,Unknown race,0,0,0,0,0,0,0,5,0,Staten Island,Female,All,Unknown race,All,All,All
237,2011,0-12,0,0,0,0,0,0,0,5,0,Staten Island,Female,All,All,All,0-12,All
238,2011,13-19,3,25,3,33.3,0,0,0,10,0,Staten Island,Female,All,All,All,13-19,All
239,2011,20-29,3,25,2,22.2,1,33.3,4,51,0,Staten Island,Female,All,All,All,20-29,All
240,2011,30-39,2,16.7,2,22.2,0,0,0,105,1,Staten Island,Female,All,All,All,30-39,All
241,2011,40-49,1,8.3,0,0,1,33.3,3,271,6,Staten Island,Female,All,All,All,40-49,All
242,2011,50-59,2,16.7,1,11.1,1,33.3,1,265,9,Staten Island,Female,All,All,All,50-59,All
243,2011,60+,1,8.3,1,11.1,0,0,0,73,3,Staten Island,Female,All,All,All,60+,All
244,2011,Injection drug use history (IDU),1,8.3,1,11.1,0,0,1,150,11,Staten Island,Female,All,All,All,All,Injection drug use history (IDU)
245,2011,Heterosexual contact,7,58.3,5,55.6,2,66.7,5,415,5,Staten Island,Female,All,All,All,All,Heterosexual contact
246,2011,Transgender people with sexual contact,0,0,0,0,0,0,0,18,0,Staten Island,Female,All,All,All,All,Transgender people with sexual contact
247,2011,Perinatal,0,0,0,0,0,0,0,30,0,Staten Island,Female,All,All,All,All,Perinatal
